Product (per 100g),Total Energy (kcal),Protein (g),Carbs (g),Sugars (g),Added Sugars (g),Fiber (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Sodium (g)
MAGGI® 2-Minute Noodles,427,8,63.5,2.2,0,3.6,15.7,6.8,0.13,1172.3
AMUL Cheese,311,20,1.5,1.5,0,0,25,16,0,1200
Nutrela soya chunks,354.14,53.19,33.5,7.18,0,0,0.82,0.19,0,8
Healthy and Tasty Mustard Oil,900,0,0,0,0,0,100,99,1,0
Red Cow Ghee,897,0,0,0,0,0,99.7,65,0,0
Rice Idli,351,13,67,0.5,0,6.5,2.3,1.1,0,900
Thaker Diary Paneer,310,20,2.5,2.5,0,0,25,17.6,0,12
MAGGI® Pasta Cheesy Tomato,327,7.7,69.8,6.8,3.5,0,1.9,1.5,0.01,712.9
Snack Sweet Corn,79,3.2,14.4,3.5,0.2,4.5,2,0.3,0,400
Mordern Burger Supreme,266,9.5,49.7,3.1,2.8,0,3.23,2.45,0,479
Keventer Chicken Sausage,155.8,12.3,8.6,0,0.01,0,8,3.1,0.02,0
Keventer Chicken Nuggets,220,14.7,14.2,0.4,0,0,11.6,2.8,0.1,0
Keventer Chicken Strips,219.8,15.7,16.9,0.1,0,0,9.9,1.6,0.1,0

