Product (per 100g),Total Energy (kcal),Protein (g),Carbs (g),Sugars (g),Fiber (g),Fat (g),Sodium (mg)
Boiled Egg (Ubla Anda),45.35,4.43,0.12,0.00,0.11,3.04,170.94
Boiled Rice (Uble Chawal),117.19,2.60,25.72,0.22,1.25,0.18,1.05
Butter Milk,15.00,0.80,0.50,-,-,1.10,0.00
Bengal Gram_ Roasted,369.00,22.50,58.10,-,1.00,5.20,-
Beans_ Chick Peas_ Kabuli_ Whole_ Dried_ Raw,320.00,21.30,49.60,2.60,0.00,5.40,39.00
Chickpeas (Garbanzo Beans_ Bengal Gram)_ Mature Seeds_ Raw,378.00,20.50,63.00,10.70,12.20,6.04,24.00
Chicken Pakora/Pakoda,590.09,6.03,4.55,0.22,0.96,60.98,103.23
Groundnut Roasted,570.00,26.20,26.70,-,3.10,39.80,-
Peas Roasted,340.00,22.90,58.80,-,4.40,1.40,14.70
Baked Stuffed Fish,121.96,16.14,2.12,0.35,0.38,5.43,74.36
Fish Finger,542.90,5.66,4.47,0.17,0.34,55.82,103.55
Salami,438.00,20.90,0.50,0.50,0.40,39.20,1530.00
Chicken Salad,338.19,15.33,1.30,0.96,2.00,30.26,50.62
Pasta_ White_ Dried_ Raw,343.00,11.30,75.60,2.10,0.00,1.60,2.00
Pasta_ White_ Dried_ Raw,343.00,11.30,75.60,2.10,0.00,1.60,2.00
Pasta Salad,190.36,4.15,12.70,2.60,0.96,13.92,152.31
Home Made Plain Noodles,238.78,6.21,44.50,1.07,1.65,3.56,182.07
Raw Mango Chutney (Kachhe Aam/Kairi Ki Chutney),193.13,0.51,49.94,45.22,2.17,0.16,480.68
Tomato Chutney (Tamatar Ki Chutney),176.07,0.97,31.85,30.02,1.49,6.01,823.65
Schezwan Chutney,205.19,3.33,10.79,5.66,5.72,17.72,486.27
Green Chutney,79.42,5.42,10.01,0.92,5.84,1.60,262.81
Tomato Sauce,34.33,0.81,7.23,5.69,1.79,0.27,174.79
